"DisplayName","RoleDefinitionName","ObjectType","Scope"
"MEMO-GRP-Cloud-Engineers","Contributor","Group","/subscriptions/<SUBSCRIPTION_ID>/resourceGroups/MEMO-RG-Engineering"
"MEMO-GRP-Developers","Contributor","Group","/subscriptions/<SUBSCRIPTION_ID>/resourceGroups/MEMO-RG-Development"
"MEMO-GRP-Help-Desk","Reader","Group","/subscriptions/<SUBSCRIPTION_ID>/resourceGroups/MEMO-RG-Shared"
"MEMO-GRP-Finance","Reader","Group","/subscriptions/<SUBSCRIPTION_ID>/resourceGroups/MEMO-RG-Finance"
"MEMO-GRP-HR","Reader","Group","/subscriptions/<SUBSCRIPTION_ID>/resourceGroups/MEMO-RG-HR"
"MEMO-GRP-Marketing","Reader","Group","/subscriptions/<SUBSCRIPTION_ID>/resourceGroups/MEMO-RG-Shared"
"MEMO-GRP-Interns","Contributor","Group","/subscriptions/<SUBSCRIPTION_ID>/resourceGroups/MEMO-RG-Sandbox"
